feature_set,k,silhouette,davies_bouldin,calinski_harabasz
scaled,2,0.2593169555318255,1.525996583605209,69.52333173902912
scaled,3,0.2848589191898987,1.3891879777181646,70.9400080031512
scaled,4,0.26017035223704527,1.7968917400704767,56.181355187904686
scaled,5,0.20161908294074093,1.8083185918965696,46.952209001853014
scaled,6,0.23716725754166543,1.5543938572772371,41.70078627203861
scaled,7,0.2036275812271175,1.660585112115763,38.68553412751144
scaled,8,0.1570139556393107,1.740859263995342,35.80525027642259
pca,2,0.27933210955562243,1.4044392751887023,73.39666332440656
pca,3,0.298674829436929,1.3363263335155757,76.17957977418841
pca,4,0.27331919957819983,1.7405038606288552,60.589226819355936
pca,5,0.2473165029468394,1.6303469497469791,50.76347825870685
pca,6,0.21014325347144508,1.7054828112561864,44.75703599893287
pca,7,0.20910066950808595,1.6408611565880105,41.93275511048129
pca,8,0.16290635741937773,1.6879392139198894,39.55437930012813
feature_engineered,2,0.2955427910652944,1.3314275731391072,73.94475655584779
feature_engineered,3,0.280890614598374,1.4200359328131384,71.76011266980605
feature_engineered,4,0.2732995222474239,1.6829676252101233,57.269865534389034
feature_engineered,5,0.27443470663580005,1.5603457854957814,47.80685569496825
feature_engineered,6,0.22379155537379683,1.6191306302927175,42.50929783183601
feature_engineered,7,0.20004579806640285,1.7688560375834126,39.55146309807723
feature_engineered,8,0.15808306028043775,1.7571760744261218,36.715256486847956
